collationid,typename,collation,characterset
105,MariaDB,utf16_slovenian_ci,utf16
106,MariaDB,utf16_polish_ci,utf16
107,MariaDB,utf16_estonian_ci,utf16
108,MariaDB,utf16_spanish_ci,utf16
109,MariaDB,utf16_swedish_ci,utf16
110,MariaDB,utf16_turkish_ci,utf16
111,MariaDB,utf16_czech_ci,utf16
112,MariaDB,utf16_danish_ci,utf16
113,MariaDB,utf16_lithuanian_ci,utf16
114,MariaDB,utf16_slovak_ci,utf16
115,MariaDB,utf16_spanish2_ci,utf16
116,MariaDB,utf16_roman_ci,utf16
117,MariaDB,utf16_persian_ci,utf16
118,MariaDB,utf16_esperanto_ci,utf16
119,MariaDB,utf16_hungarian_ci,utf16
120,MariaDB,utf16_sinhala_ci,utf16
121,MariaDB,utf16_german2_ci,utf16
122,MariaDB,utf16_croatian_mysql561_ci,utf16
123,MariaDB,utf16_unicode_520_ci,utf16
124,MariaDB,utf16_vietnamese_ci,utf16
672,MariaDB,utf16_croatian_ci,utf16
673,MariaDB,utf16_myanmar_ci,utf16
674,MariaDB,utf16_thai_520_w2,utf16
1078,MariaDB,utf16_general_nopad_ci,utf16
1079,MariaDB,utf16_nopad_bin,utf16
1125,MariaDB,utf16_unicode_nopad_ci,utf16
1147,MariaDB,utf16_unicode_520_nopad_ci,utf16
56,MariaDB,utf16le_general_ci,utf16le
62,MariaDB,utf16le_bin,utf16le
1080,MariaDB,utf16le_general_nopad_ci,utf16le
1086,MariaDB,utf16le_nopad_bin,utf16le
57,MariaDB,cp1256_general_ci,cp1256
67,MariaDB,cp1256_bin,cp1256
1081,MariaDB,cp1256_general_nopad_ci,cp1256
1091,MariaDB,cp1256_nopad_bin,cp1256
29,MariaDB,cp1257_lithuanian_ci,cp1257
58,MariaDB,cp1257_bin,cp1257
59,MariaDB,cp1257_general_ci,cp1257
1082,MariaDB,cp1257_nopad_bin,cp1257
1083,MariaDB,cp1257_general_nopad_ci,cp1257
60,MariaDB,utf32_general_ci,utf32
61,MariaDB,utf32_bin,utf32
160,MariaDB,utf32_unicode_ci,utf32
161,MariaDB,utf32_icelandic_ci,utf32
162,MariaDB,utf32_latvian_ci,utf32
163,MariaDB,utf32_romanian_ci,utf32
164,MariaDB,utf32_slovenian_ci,utf32
165,MariaDB,utf32_polish_ci,utf32
166,MariaDB,utf32_estonian_ci,utf32
167,MariaDB,utf32_spanish_ci,utf32
168,MariaDB,utf32_swedish_ci,utf32
169,MariaDB,utf32_turkish_ci,utf32
170,MariaDB,utf32_czech_ci,utf32
171,MariaDB,utf32_danish_ci,utf32
172,MariaDB,utf32_lithuanian_ci,utf32
173,MariaDB,utf32_slovak_ci,utf32
174,MariaDB,utf32_spanish2_ci,utf32
175,MariaDB,utf32_roman_ci,utf32
176,MariaDB,utf32_persian_ci,utf32
177,MariaDB,utf32_esperanto_ci,utf32
178,MariaDB,utf32_hungarian_ci,utf32
179,MariaDB,utf32_sinhala_ci,utf32
180,MariaDB,utf32_german2_ci,utf32
181,MariaDB,utf32_croatian_mysql561_ci,utf32
182,MariaDB,utf32_unicode_520_ci,utf32
183,MariaDB,utf32_vietnamese_ci,utf32
736,MariaDB,utf32_croatian_ci,utf32
737,MariaDB,utf32_myanmar_ci,utf32
738,MariaDB,utf32_thai_520_w2,utf32
1084,MariaDB,utf32_general_nopad_ci,utf32
1085,MariaDB,utf32_nopad_bin,utf32
1184,MariaDB,utf32_unicode_nopad_ci,utf32
1206,MariaDB,utf32_unicode_520_nopad_ci,utf32
63,MariaDB,binary,binary
92,MariaDB,geostd8_general_ci,geostd8
93,MariaDB,geostd8_bin,geostd8
1116,MariaDB,geostd8_general_nopad_ci,geostd8
1117,MariaDB,geostd8_nopad_bin,geostd8
95,MariaDB,cp932_japanese_ci,cp932
96,MariaDB,cp932_bin,cp932
1119,MariaDB,cp932_japanese_nopad_ci,cp932
